day,policy,health,svi,eff_tss,flagged_frac,energy_kwh
77,none,0.9199868786890865,100.80273489468124,8.72068878829009,0.3,1040.01012923956
78,none,0.9199898965905966,100.80210586890456,8.72053036698337,0.3,1040.0077995144613
79,none,0.9199922203747594,100.80162151905651,8.720408382577194,0.3333333333333333,1040.006005626135
80,none,0.9199940096885647,100.8012485696735,8.72031445458444,0.3,1040.0046243321242
81,none,0.9199953874601948,100.80096139864861,8.72024213003002,0.26666666666666666,1040.0035607357356
82,none,0.91999644834435,100.80074027695943,8.720186440123117,0.36666666666666664,1040.0027417665165
83,none,0.9199972652251496,100.80057001325875,8.720143558894794,0.2,1040.0021111602175
84,none,0.9199978942233652,100.80043891020924,8.720110540348994,0.13333333333333333,1040.0016255933674
85,none,0.9199983785519912,100.80033796086111,8.720085116068724,0.16666666666666666,1040.001251706893
86,none,0.9199987514850332,100.80026022986306,8.720065539372918,0.3333333333333333,1040.0009638143074
87,none,0.9199990386434755,100.80020037699455,8.720050465317147,0.26666666666666666,1040.0007421370167
88,none,0.9199992597554761,100.80015429028582,8.720038858294204,0.2,1040.000571445503
89,none,0.9199994300117167,100.80011880352008,8.720029920886539,0.26666666666666666,1040.0004400130374
0,ad,0.92,100.8,8.719999999999999,0.3333333333333333,1040.0
1,ad,0.92,100.8,8.719999999999999,0.26666666666666666,1040.0
2,ad,0.92,100.8,8.719999999999999,0.36666666666666664,1040.0
3,ad,0.92,100.8,8.719999999999999,0.3333333333333333,1040.0
4,ad,0.92,100.8,8.719999999999999,0.16666666666666666,1040.0
5,ad,0.92,100.8,8.719999999999999,0.43333333333333335,1040.0
6,ad,0.92,100.8,8.719999999999999,0.3333333333333333,1040.0
7,ad,0.92,100.8,8.719999999999999,0.3333333333333333,1040.0
8,ad,0.92,100.8,8.719999999999999,0.2,1040.0
9,ad,0.92,100.8,8.719999999999999,0.26666666666666666,1040.0
10,ad,0.92,100.8,8.719999999999999,0.23333333333333334,1040.0
11,ad,0.92,100.8,8.719999999999999,0.4,1040.0
12,ad,0.92,100.8,8.719999999999999,0.3,1040.0
13,ad,0.92,100.8,8.719999999999999,0.36666666666666664,1040.0
14,ad,0.92,100.8,8.719999999999999,0.26666666666666666,1040.0
